68.392,72.180,80.581
59.924,63.053,68.392
51.788,54.834,59.924
44.286,47.135,51.788
37.574,40.166,44.286
31.716,34.024,37.574
26.596,28.654,31.716
24.240,25.307,26.596
22.004,23.020,24.240
19.855,20.836,22.004
17.773,18.727,19.855
16.753,17.243,17.773
15.731,16.222,16.753
14.706,15.198,15.731
13.674,14.170,14.706
12.633,13.134,13.674
11.578,12.086,12.633
10.504,11.021,11.578
9.409,9.936,10.504
8.320,8.846,9.409
7.582,7.943,8.320
6.905,7.237,7.582
6.277,6.585,6.905
5.692,5.980,6.277
5.142,5.413,5.692
4.623,4.879,5.142
4.132,4.375,4.623
3.665,3.896,4.132
3.219,3.439,3.665
2.932,3.074,3.219
2.654,2.792,2.932
2.382,2.517,2.654
2.118,2.249,2.382
1.860,1.988,2.118
1.659,1.759,1.860
1.510,1.584,1.659
1.363,1.436,1.510
1.218,1.290,1.363
1.075,1.146,1.218
0.934,1.004,1.075
0.795,0.864,0.934
0.657,0.726,0.795
0.521,0.589,0.657
0.387,0.454,0.521
0.254,0.320,0.387
0.123,0.189,0.254
-0.006,0.058,0.123
